headline,link,date,content
"India, Japan sign loan agreements worth JPY 191.73 bn for 6 projects",https://economictimes.indiatimes.com/news/economy/infrastructure/india-japan-sign-loan-agreements-worth-jpy-191-73-bn-for-6-projects/articleshow/119665550.cms,28-03-2025,"India and Japan have signed loan agreements worth 191.736 billion Japanese yen for six projects under Japan's Official Development Assistance (ODA) to India. In a statement, the finance ministry said that India and Japan yesterday signed loan agreements worth 191.736 billion Japanese yen for six projects in forest management, water supply, urban transport, aquaculture, biodiversity conservation and investment promotion.
The six loan agreements include one for the
Tamil Nadu Investment Promotion Program
(Phase 3) (TNIPP-III) (JPY 36.114 billion).
Also, one for
Delhi Mass Rapid Transport System Project
(Phase 4 Additional Corridors) (I)"" (JPY 79.726 billion).
Another Project is for the Construction of
Chennai Seawater Desalination Plant
(II)"" (JPY 52.556 billion).
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Cabinet okays inclusion of Bihar's Kosi Mechi Intra-State Link Project under PMKSY-AIBP,https://economictimes.indiatimes.com/news/economy/infrastructure/cabinet-okays-inclusion-of-bihars-kosi-mechi-intra-state-link-project-under-pmksy-aibp/articleshow/119656637.cms,28-03-2025,"The Cabinet has approved the inclusion of Bihar's
Kosi Mechi Intra-State Link Project
under the Pradhan Mantri Krishi Sinchai Yojana-Accelerated Irrigation Benefits Programme (
PMKSY-AIBP
) to enhance irrigation and flood management in the region. The project envisages diversion of a part of surplus Kosi water for extending irrigation to Mahananda basin in Bihar by way of remodelling existing Eastern Kosi Main Canal.
Estimated to cost Rs. 6,282.32 crore, the project includes Rs 3,652.56 crore as central assistance to Bihar and is scheduled for completion by March 2029.
Responding to a question during a media briefing after a Cabinet meeting, Union Minister Ashwini Vaishnaw said discussions with Nepal have taken place about the project and it is expected to have a major impact on
flood management in Bihar
.
Asked whether more such projects would be announced ahead of elections in Bihar, he said decisions were being made ""for the entire country"".
The Kosi Mechi Intra-State Link Project aims to divert excess water from the Kosi River to the Mahananda basin in Bihar. This will be achieved through the remodelling of the Eastern Kosi Main Canal (EKMC) up to 41.30 km and its extension to the Mechi River at 117.50 km.
Live Events
Once completed, the project aims to provide additional irrigation to 2,10,516 hectares of farmland in Araria, Purnea, Kishanganj, and Katihar districts during the Kharif season.
It will also restore the shortfall supply to 1.57 lakh hectares currently irrigated by the existing EKMC system. Additionally, about 2,050 million cubic meters of surplus water from Kosi will be diverted to the Mahananda command area during monsoons.
The project is part of the broader PMKSY-AIBP initiative, which was launched in 2015-16 to expand irrigation coverage and improve water conservation efforts.
The scheme's Accelerated Irrigation Benefits Programme component focuses on major and medium irrigation projects, with the aim of ensuring water access for farmers.
Since April 2016, 63 projects have been completed under PMKSY-AIBP, creating
additional irrigation potential
for 26.11 lakh hectares. The Kosi Mechi project is the tenth to be included in the AIBP component since 2021.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
CCEA approves greenfield corridor in Bihar; to be built on HAM at an investment of Rs 3700 crore,https://economictimes.indiatimes.com/news/economy/infrastructure/ccea-approves-greenfield-corridor-in-bihar-to-be-built-on-ham-at-an-investment-of-rs-3700-crore/articleshow/119656473.cms,28-03-2025,"The
cabinet committee on economic affairs
on Friday approved the construction of four-lane access controlled greenfield and brownfield highway project in Bihar to be developed on
hybrid annuity mode
(HAM) at an investment of Rs 3,712.40 crore.
This includes the land acquisition cost of Rs 718.97 crore and Rs 2989.08 crore of civil cost.
The corridor will extend for 120.10 km between Patna–Arrah–Sasaram and will help in reducing the increasing congestion while catering to the needs of densely built-up areas in places like Arrah, Grahini, Piro, Bikramganj, Mokar and Sasaram.
Currently, connectivity between Sasaram, Arrah and Patna relies on existing state highways (SH-2, SH-12, SH-81 and SH-102) and takes three-four hours due to heavy congestion enroute including in Arrah town.
According to the statement issued after the Cabinet decision, the project alignment integrates with major transport corridors, including NH-19, NH-319, NH-922, NH-131G, and NH-120, providing seamless connectivity to Aurangabad, Kaimur, and Patna.
Live Events
“Additionally, the project will also provide connectivity to two airports (Patna’s Jay Prakash Narayan International Airport and upcoming Bihita airport), four major railway stations (Sasaram, Arrah, Danapur, Patna), and one Inland Water Terminal (Patna), and enhance direct access to Patna Ring Road, facilitating faster movement of goods and passengers,” it said.
The project will also generate 48 lakh man days of employment, and will open new avenues of growth and development in and around Patna.
The annual average daily traffic estimated on this stretch is 17,000-20,000 passenger car units (PCUs)
Upon completion, the Patna-Arrah-Sasaram Corridor will play a pivotal role in
regional economic growth
, improving connectivity between Lucknow, Patna, Ranchi, and Varanasi, it said.
As per the statement, the project aligns with the government’s vision of Atmanirbhar Bharat, enhancing infrastructure while generating employment and fostering socio-economic development in Bihar.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
637 projects facing delays due to various reasons: Nitin Gadkari,https://economictimes.indiatimes.com/news/economy/infrastructure/637-projects-facing-delays-due-to-various-reasons-nitin-gadkari/articleshow/119548043.cms,26-03-2025,"As many as 637 projects, including those under the
Bharatmala Pariyojana Scheme
, have faced delays primarily due to factors like
land acquisition issues
and financial difficulties faced by contractors, Parliament was informed Wednesday. Besides force majeure events, scarcity of construction materials, etc have also caused delays in the projects, Union Minister for Road, Transport and Highways
Nitin Gadkari
said in a reply to Rajya Sabha.
""The implementation of 637 projects, including those under the Bharatmala Pariyojana Scheme, has faced delays...,"" the Minister said.
To overcome these challenges and expedite project execution, the government has undertaken various initiatives, Gadkari said..
These include streamlining and expediting land acquisition process, revamping Parivesh Portal to facilitate faster forest and environmental clearances, enabling online approval of General Arrangement Drawing (GAD) of Road Over Bridge/Road Under Bridge (ROB/RUB) from the Railways, and conducting review meetings at various levels with all stakeholders, including state governments, he said.
On the financial implication, Gadkari said it does not arise in every delayed project. The minister said if delay is not attributable to the contractor, price escalation is paid as per contract conditions, which may or may not result in additional cost, depending upon final value of price escalation determined on actual completion of the project.
Live Events
Further, if delay is attributable to the contractor, damages are imposed, and there is no additional cost due to delay. The government is taking all necessary steps for timely completion of such delayed projects, he said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"NHAI raises record Rs 18,380 crore via InvIT",https://economictimes.indiatimes.com/news/economy/infrastructure/nhai-raises-record-rs-18380-crore-via-invit/articleshow/119540466.cms,27-03-2025,"The National Highways Authority of India has raised Rs 18,380 crore through InvIT, the largest monetization transaction ever in the roads sector. With this fourth round of monetisation, the total funds raised via InvIT stands at over Rs 46,000 crore since 2020.
While Rs 8,340 crore were raised in unit capital from domestic and international investors, Rs 10,040 crore was raised in debt from domestic lenders, the ministry of road transport and highways said in a statement issued on Wednesday.
The National Highways Infra Trust (
NHIT
), the
Infrastructure Investment Trust
(InvIT), was set up by NHAI in 2020 to support the government asset monetization programme.
According to the statement, for the first time the Employees’ Provident Fund Organisation (EPFO) has invested Rs 2,035 crore in InvIT.
Live Events
“The issue attracted strong demand from both existing and new investors,” it said, adding that NHAI also subscribed to its share of 15% of the units at the same price.
The other domestic pension and provident funds that invested in the fourth round of InvIT included L&T Provident Fund, the Rajasthan Rajya Vidyut Karamchari PF and the Indian Oil Corporation PF.
From the insurance sector, Axis Max Life Insurance invested in the InvIT while NaBFID,
Axis Bank
and
IndusInd Bank
were key investors from the financial institutions.
Besides, the mutual fund investors that invested included Nippon India, Baroda BNP Paribas, Nuvama and White Oak Capital, over and above NHIT’s existing foreign investors that includes the Canada Pension Plan Investment Board and Ontario Teachers’ Pension Plan Board, the ministry said.
These funds will be used for the acquisition of national highway stretches viz. Anakapalle–Narsannapeta, Gundugolanu–Kovvuru and Chittoor–Mallavaram in Andhra Pradesh, Bareilly–Sitapur and Muzaffarnagar–Haridwar stretches in UP and Uttarakhand, Gandhidham–Mundra stretch in Gujarat and Raipur–Bilaspur stretch in Chhattisgarh, at a concession value of Rs 17,738 crore (including premium of Rs 97 crore), it added.
According to the ministry, the investors subscribed to the units through a book-building process at a cut-off price of Rs 133.50 per unit, reflecting a premium over the December 31, 2024 value of Rs 131.94 per unit.
“With completion of this round, NHIT will hold a diversified portfolio of 26 operating toll roads (41 toll plazas) with an aggregate length of 2,345 km spread across 12 states with concession periods ranging between 20 to 30 years,” it added.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Private capex share dipped to decadal low of 33% in FY24: ICRA,https://economictimes.indiatimes.com/news/economy/infrastructure/private-capex-share-dipped-to-decadal-low-of-33-in-fy24-icra/articleshow/119421235.cms,24-03-2025,"Domestic rating agency
ICRA
on Monday said private capital expenditure's share in the overall investments in the economy dipped to a decadal low of 33 per cent in FY24. Among the
private companies
, it was the unlisted players which were subdued in investments as compared to the listed entities, as per a report.
It can be noted that for the last few years, the government has been driving investments, leading to concerns in some quarters over the private sector's absence and its impact on the overall economic activity.
The private sector has instead focused on deploying excess cash at reducing loan burdens rather than investing in new facilities, choosing to run at high capacity utilisation.
""Weak domestic consumption, especially urban, muted export demand, and the influx of cheap Chinese imports in some sectors, among other factors, restricted the capacity expansion plans of Indian corporates,"" the agency's chief rating officer K Ravichandran said.
Illustrating the importance of investments in the economy, the agency said Gross Fixed Capital Formation (
GFCF
), encompassing the gross addition to fixed assets and intangibles, constitutes around 30 per cent of India's nominal GDP, making it the second largest component after private final consumption expenditure.
Live Events
The GFCF has been slowing down since FY23, largely due to the slowdown in the private sector's activity, the agency said, adding that government
capex
and household investments in real estate have helped it.
The listed corporates increased their capex spending by 28 per cent in FY23 and 12 per cent in FY24, but the unlisted entities experienced a contraction in FY24, dragging overall
private capex
growth, the agency said.
The cash generation of corporates has consistently improved, post the Covid shock, with the ratio of cash flow from operations vis-a-vis capex increasing to 1.6 times in FY2024 from an average of 1.3 times from FY2014 to FY2020. This has also led to a steady reduction in gearing levels to 0.9 times in FY2024 from 1.1 times in FY2014, it said.
""Deleveraged corporate balance sheets, together with improving cash flows from operations, point towards favourable conditions for an upturn in the private capex cycle,"" Ravichandran said, adding RBI's rate cuts, and income tax relief in the budget could help the process.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Govt plans to make NH in Assam like in US; plans to invest Rs 3 lakh crore: Gadkari,https://economictimes.indiatimes.com/news/economy/infrastructure/govt-plans-to-make-nh-in-assam-like-in-us-plans-to-invest-rs-3-lakh-crore-gadkari/articleshow/119213062.cms,19-03-2025,"Union Minister Nitin Gadkari on Wednesday said the government is planning to invest Rs 3 lakh crore in Assam to construct national highways at par with those in the US. Replying to queries during the Question Hour in the Rajya Sabha, the Road Transport and Highways Minister also asserted that his ministry has no dearth of funds for road projects.
He also informed the House about the progress of various national highway (NH) projects in Assam and said the ring road of Guwahati will be completed by December 2027 at a cost of Rs 5,800 crore.
""I am confident that after making all this road, we will make the national highway of Assam equivalent to USA...,"" he said.
The government is planning to invest Rs 3 lakh crore in Assam, Gadkari said, adding that roads, bridges and tunnels are being constructed to improve transport networks in the state.
Besides Ring Road, the minister said, the government is making a tunnel in Dibrugarh under the Brahmaputra river, costing Rs 12,000 crore, which is already in the process of sanctioning.
Live Events
""So, it is totally going to change the total scenario of the highway network in Assam, and there will be more investment, more jobs, more creation of wealth and progress and development for Assam. Under the leadership of the Prime Minister, we have given the highest priority for the development of infrastructure, in particular, in the northeast area, and we are taking it very seriously,"" Gadkari said.
On the elevated highway over Kaziranga National Park, he said, ""We don't have any fund problem. We manage national highway in such a way that we have got the highest reputation in the capital market"". The project will start soon after getting the Cabinet approval.
Replying to a question by Leader of Opposition Mallikarjun Kharge regarding connectivity between Gulbarga and Bengaluru, Gadkari said the Modi government has done a lot of work in Karnataka since 2014.
The minister also asked the Congress President to provide him with a list of work that needs to be done in Karnataka, and he will look into it.
Gadkari pointed out that there has been a problem with land acquisition and environment clearance in Karnataka.
While asking questions, Kharge also said that he has heard that even files related to the allocation of numbers to national highways go to the Prime Minister's Office.
To this, the minister replied: ""I want to inform Kharge Ji that files on the allocation of numbers do not go to the Prime Minister. The Prime Minister has appointed me and my department works as per the mandate given. There are no obstacles"".
Meanwhile, Rajya Sabha Chairman Jagdeep Dhankhar also made a special request to Gadkari.
""It is my great fortune that I was born in Tithana village of Haryana and I did my schooling there too. It is a request that Union Minister Nitin Gadkari should consider that the area should be connected with a national highway. It will benefit the people travelling to Delhi greatly,"" Dhankhar said.
Gadkari responded in affirmative to the request.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Land for highways left unused for 5 years will be returned; govt's new rules aim to clear roadblocks,https://economictimes.indiatimes.com/news/economy/infrastructure/land-left-unused-for-5-years-will-be-returned-govts-new-rules-aim-to-clear-roadblocks/articleshow/119106255.cms,17-03-2025,"The Central government has proposed that land parcels acquired for
highway development
be returned to their original owners if they remain unused for five years, reported TOI.
Additionally, landowners and the highway authority will no longer be able to challenge the compensation amount for the acquired land three months after the announcement of the award.
According to the TOI report, these are part of the key provisions outlined by the Ministry of Road Transport and Highways in its proposal to amend the
National Highways Act
, which has been sent to the cabinet for approval.
The proposed amendments aim to speed up land acquisition for national highway development and
wayside amenities
while reducing the need for arbitration, TOI reported citing sources.
One of the key changes would allow the government to declare any interchange of a highway with other transportation modes, such as rail or air, as part of the national highway network. This provision is intended to address both current and future needs.
Live Events
Moreover, various ministries, including Civil Aviation, Railways, Defence, Shipping, Coal, Environment, Legal Affairs, and Revenue, have provided feedback on the proposed amendments, said TOI.
The government also plans to create a designated portal for publishing notices related to land acquisition, facilitating the process for acquiring land for wayside amenities, public utilities, tolls, and highway operation offices.
Meanwhile, in a bid to prevent any potential disputes, the Ministry of Highways has proposed that no transactions or encumbrances be allowed on land once the government issues a notification for its acquisition until the process is complete, reported TOI.
This measure comes in response to cases where landowners built houses or started businesses on the land after the first notification in an attempt to secure higher compensation.
Moreover, the amendments clarify that arbitrators determining compensation will have to base their decision on the market value of the land on the date of the initial notification. This change is intended to prevent arbitrary compensation awards.
TOI sources also revealed that the proposed amendments set clear timelines for determining compensation, filing objections, and setting parameters for arbitrators, all aimed at enhancing transparency in the land acquisition process for highway development.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"19,826 km roads constructed so far under Bharatmala: Nitin Gadkari",https://economictimes.indiatimes.com/news/economy/infrastructure/19826-km-roads-constructed-so-far-under-bharatmala-nitin-gadkari/articleshow/119002639.cms,14-03-2025,"Bharatmala projects
covering a total length of 26,425 km have been awarded and out of this 19,826 km have already been constructed, Union Minister of Road Transport and Highways
Nitin Gadkari
informed Lok Sabha in a written reply earlier this week.
The
Bharatmala Pariyojana
was approved by the central government in 2017.
Bharatmala Pariyojana is envisaged to improve the logistics efficiency and connectivity in the country including connectivity to tribal, aspirational and Left Wing Extremist-affected districts while reducing accident on the these Highways ensuring safer transportation networks.
The development of high-speed corridors will also reduce the travel time substantially between key economic centers.
Various Industrial Hubs, NMP nodes, MMLPs, Ports and Airports to be provided high-speed connectivity through these corridors.
Live Events
As of February 2025, 6,669 km length of high speed greenfield corridors has been awarded with construction completed for 4,610 km.
In so far as
National Highways
(NHs) are concerned, works are carried out as per standards, guidelines, manual, code of practice of Indian Roads Congress as well as Specification for Road and Bridge Works, the minister said in his written reply.
""Necessary road safety measures are taken during design, construction, operation and maintenance stages. Further, Guidelines have been issued for regular safety audit of all NHs at design, construction, pre-opening stage of NH projects as well as on existing NHs for ensuring road safety,"" Minister Gadkari said.
Many Smart Technologies such as Automated and intelligent Machine-aided construction (AI-MC), LIDAR and drone based analytics etc is being adopted in Highway Construction.
In another reply regarding the ambitious
PM Gati Shakti initiative
, the minister said 115 NHs / road projects in about 13,500 km amounting to Rs. 6.38 lakh crore have been examined so far leveraging the PM Gati Shakti NMP Portal and consulted within the Network Planning Group (NPG) of PM Gati Shakti NMP.
This, he said, has resulted in better planning and execution of
infrastructure projects
for more streamlined project delivery by reducing the time and cost associated with project design, alignment, clearances, and approvals.
The Ministry of Road Transport and Highways is primarily responsible for the development and maintenance of National Highways (NHs). All the NHs development projects are planned in line with PM Gati Shakti National Master Plan (NMP) principles.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Grant of Rs 8,000 crore to develop 8 greenfield cities unutilised, may lapse",https://economictimes.indiatimes.com/news/economy/infrastructure/grant-of-rs-8000-crore-to-develop-8-greenfield-cities-unutilised-may-lapse/articleshow/118901069.cms,11-03-2025,"₹8,000 crore to develop eight new greenfield cities in a year -- this is the task before the ministry of housing and urban affairs which is yet to finalise the new cities to be incubated.
In 2021, the
Fifteenth Finance Commission
had allocated a grant of ₹8,000 crore as
performance-based challenge fund
to incubate eight new greenfield cities in five years. Though the process for choosing the eight new centres to be developed was completed in 2023, the ministry of housing and urban affairs has not finalised the names. This grant will lapse on March 31, 2026.
After the Finance Commission announced the grant, the ministry of housing and urban affairs constituted an expert committee for finalisation of the bid parameters for incubation of new cities. The committee finalised minimum eligibility conditions and bid parameters and a Request for Proposal (RfP) was circulated to all states. The ministry received 26 proposals from 21 states by January 2023. However, the ministry decided to give another opportunity to the North East states and revised proposals were sought. Finally, two more proposals were added. The final list before the ministry is 28 proposals from 23 states. Even if the new incubation centres are chosen now, officials say it will be difficult to utilise the grant money fully in just one year. ""It is extremely difficult for a state to spend ₹1,000 crore in a year to incubate a new city. There are several challenges, including land acquisition and clearances to set up a new city. Something else will need to be worked out to ensure that this grant is utilised."" One of the options could be to discuss the proposal with the Sixteenth Finance Commission and then earmark another grant for the new cities.
The Centre wants to encourage the North East and hill states for incubating new cities. The official quoted above said, ""There could be more than eight cities as the government wants to encourage the NE states. Since they do not have the capacity to absorb ₹1,000 crore, the Centre may split the amount and choose two centres in the North East states and give ₹500 crore each.""
To give impetus to the proposals from the North East and hill states, the ministry had relaxed the preferred size and population criteria. The preferred size of the proposed cities in the North East and hill states is ""more than 25 hectares"" and for all other states is ""more than 50 hectares"". Similarly, the envisaged population of the new city is 25,000 for the NE states and 1,00,000 for other states. In December 2024, in a written reply to a question in the Lok Sabha, minister of state for ministry of housing and urban affairs Tokhan Sahu had said, ""All the proposals are at the competent level for examination/scrutiny.""
Live Events
(You can now subscribe to our
Economic Times WhatsApp channel
)"
